18,1
19,1
10,1
20,1
25,1
24,1
19,1
19,1
18,1
22,1
20,1
16,1
21,1
24,1
24,1
19,1
21,1
20,1
16,1
18,1
14,1
21,1
24,1
29,1
21,1
21,1
26,1
34,1
23,1
28,1
26,1
20,1
24,1
38,1
25,1
27,1
27,1
22,1
11,1
19,1
17,1
24,1
16,1
18,1
28,1
16,1
25,1
26,1
50,1
20,1
14,1
16,1
29,1
25,1
16,1
23,1
22,1
30,1
20,1
32,1
20,1
18,1
19,1
22,1
25,1
18,1
22,1
21,1
25,1
10,1
19,1
20,1
20,1
19,1
20,1
24,1
20,1
23,1
31,1
17,1
14,1
24,1
18,1
20,1
13,1
16,1
21,1
21,1
16,1
28,1
13,1
19,1
25,1
22,1
22,1
20,1
18,1
17,1
24,1
19,1
